Season,Show Title,Resturant,City,State,Business ID,Rating,# of Reviews,Latitude,Longitude
1,Classics,Mac and Ernies,Tarpley,Texas,Mac-and-Ernies-Tarpley,4,36,-99.2764299,29.6571703
1,Classics,Brints Diner,Wichita,Kansas,Brints-Diner-Wichita,3.5,26,-97.336111,37.688889
1,Classics,Mad Greeks Diner,Baker,California,The-Mad-Greek-Baker,3,905,-116.073907,35.267516
1,Thats Italian,Four Kegs Sports Pub,Las Vegas,Nevada,Four-Kegs-Sports-Bar-Las-Vegas,4,291,-115.1398296,36.1699412
1,Thats Italian,Hullabaloo Diner,Wellborn,Texas,Hullabaloo-Diner-Wellborn,3.5,96,-82.8192807,30.2304453
1,Thats Italian,Pizza Palace,Knoxville,Tennessee,Pizza-Palace-Knoxville,3.5,76,-83.9207392,35.9606384
1,Blue Plate Special,The Penguin,Charlotte,North Carolina,The-Penguin-Charlotte,Closed,Closed,-80.8431267,35.2270869
1,Blue Plate Special,Patricks Roadhouse,Santa Monica,California,Patricks-Roadhouse-Santa-Monica,3.5,310,-118.4911912,34.0194543
1,Blue Plate Special,Frosted Mug,Alsip,Illinois,Frosted-Mug-Alsip,Closed,Closed,-87.7386619,41.6689223
1,Breakfast,The Coffee Cup,Boulder City,Nevada,The-Coffee-Cup-Boulder-City,4,273,-105.2705456,40.0149856
1,Breakfast,Franks Diner,Kenosha,Wisconsin,Franks-Diner-Kenosha,4,192,-87.8211854,42.5847425
1,Breakfast,Gaffey Street Diner,San Pedro,California,Gaffey-Street-Diner-San-Pedro,3.5,372,-118.292246,33.736062
1,BBQ,Louie Mueller BBQ,Taylor,Texas,Louie-Mueller-BBQ-Taylor,4,283,-83.2696509,42.240872
1,BBQ,Barbecue King Drive-In,Charlotte,North Carolina,Bar-B-Q-King-Charlotte,3.5,81,-80.8431267,35.2270869
1,Local Legends,Eveready Diner,Hyde Park,New York,Eveready-Diner-Hyde-Park,3.5,142,-73.9015246,41.7667602
